Station,TEMP,TDS,pH,TURB,WQI
IND00001,27.0,211.0,7.5,2.0,51.2638888889
IND00001,30.0,130.0,7.9,33.0,43.3583333333
IND00001,29.0,147.0,8.2,7.0,40.7
IND00001,26.0,162.0,8.2,6.0,42.5611111111
IND00001,19.0,169.0,8.1,5.0,41.725
IND00001,14.0,232.0,8.3,11.0,53.9805555556
IND00001,19.0,242.0,7.9,8.0,56.525
IND00001,25.0,284.0,8.2,6.0,66.0055555556
IND00001,25.0,256.0,7.6,7.0,60.6
IND00001,31.0,263.0,7.8,4.0,63.0222222222
IND00001,29.0,260.0,7.7,10.0,63.1861111111
IND00001,27.0,263.0,8.2,5.0,62.2555555556
IND00001,26.0,216.0,8.1,7.0,53.2527777778
IND00001,24.0,224.0,7.8,9.0,54.6055555556
IND00001,31.0,202.0,7.8,6.0,51.6055555556
IND00001,26.0,240.0,8.1,2.0,56.8083333333
IND00001,27.0,212.0,8.3,7.0,52.8138888889
IND00001,24.0,226.0,7.8,9.0,54.9944444444
IND00001,25.0,260.0,8.3,6.0,61.3694444444
IND00001,25.0,416.0,8.2,7.0,91.8944444444
IND00001,30.0,278.0,8.2,8.0,66.6722222222
IND00001,26.0,318.0,8.4,6.0,72.9555555556
IND00001,2.0,280.0,8.3,31.0,64.425
IND00001,25.0,234.0,7.6,12.0,57.4333333333
IND00001,30.0,166.0,8.6,3.0,43.9055555556
IND00001,26.0,264.0,8.2,5.0,62.1722222222
IND00001,24.0,196.0,7.8,3.0,47.8277777778
IND00001,25.0,278.0,7.2,8.0,64.9777777778
IND00001,18.0,344.0,8.7,3.0,75.2138888889
IND00001,25.0,250.0,8.3,2.0,58.5361111111
IND00001,27.0,232.0,8.4,6.0,56.5111111111
IND00001,29.0,260.0,8.3,4.0,62.0361111111
IND00001,27.0,276.0,8.0,9.0,65.6111111111
IND00001,29.0,200.0,8.5,7.0,51.0972222222
IND00001,29.0,150.0,7.9,4.0,40.525
IND00001,29.0,162.0,8.4,2.0,42.5666666667
IND00001,29.0,228.0,8.4,5.0,56.0666666667
IND00001,28.0,166.0,8.1,8.0,44.3083333333
IND00001,28.0,172.0,8.6,5.0,44.9611111111
IND00001,27.0,256.0,8.0,10.0,61.9444444444
IND00001,24.0,162.0,9.0,1.0,41.1388888889
IND00001,25.0,178.0,9.0,1.0,44.5277777778
IND00001,27.0,192.0,8.0,0.0,47.2777777778
IND00001,29.0,204.0,9.0,1.0,50.6944444444
IND00001,32.0,400.0,8.0,1.0,89.3333333333
IND00001,29.0,210.0,8.0,10.0,53.5555555556
IND00001,28.0,184.0,8.0,1.0,46.2222222222
IND00001,30.0,192.0,8.0,1.0,48.3333333333
IND00001,29.0,170.0,9.0,3.0,44.5277777778
IND00001,29.0,180.0,8.0,2.0,45.9444444444
IND00001,25.0,160.0,8.5,3.0,41.3194444444
IND00001,25.0,202.0,8.5,6.0,50.1527777778
IND00001,27.0,214.0,8.7,2.0,52.2138888889
IND00001,29.0,234.0,8.1,4.0,56.9194444444
IND00001,31.0,250.0,7.8,1.0,59.8277777778
IND00001,28.0,262.0,8.0,3.0,61.8333333333
IND00001,33.0,229.603294359,8.25,20.1385306715,60.8078140524
IND00001,30.0,0.0,8.5,21.0,15.5972222222
IND00001,24.0,214.0,8.2,8.0,52.5611111111
IND00001,21.0,248.0,8.3,4.0,57.4805555556
IND00001,25.0,128.0,8.0,3.0,34.9444444444
IND00001,27.0,166.0,8.3,17.0,46.0916666667
IND00001,23.0,172.0,8.3,5.0,43.4805555556
IND00001,24.0,214.0,8.1,1.0,50.975
IND00001,18.0,226.0,8.4,2.0,51.9555555556
IND00001,28.0,0.0,8.2,10.0,12.5055555556
IND00001,29.5,0.0,8.5,10.0,13.0138888889
IND00001,29.0,229.603294359,8.03,20.1385306715,59.629480719
IND00001,31.0,229.603294359,8.49,20.1385306715,60.3255918301
IND00001,22.0,229.603294359,8.44,20.1385306715,57.8103140524
IND00001,20.0,199.0,8.1,5.0,47.8361111111
IND00001,23.0,231.0,8.2,3.0,54.4777777778
IND00001,29.0,128.0,7.9,9.0,37.3583333333
IND00001,31.0,218.0,8.7,2.0,54.1027777778
IND00001,30.0,229.603294359,8.04,20.1385306715,59.9103140524
IND00001,30.0,229.603294359,7.47,20.1385306715,59.7361473857
IND00001,28.0,229.603294359,7.98,20.1385306715,59.3364251635
IND00001,30.0,229.603294359,8.14,20.1385306715,59.9408696079
IND00001,28.5,0.0,7.2,14.0,13.2277777778
IND00001,28.0,229.603294359,6.66,20.1385306715,58.9330918301
IND00001,29.0,229.603294359,8.3,20.1385306715,59.711980719
IND00002,19.0,229.603294359,7.65,20.1385306715,56.7355918301
IND00002,27.0,229.603294359,7.4,20.1385306715,58.8814251635
IND00002,26.0,229.603294359,7.6,20.1385306715,58.6647584968
IND00002,26.0,229.603294359,7.7,20.1385306715,58.6953140524
IND00002,38.0,229.603294359,7.65,20.1385306715,62.0133696079
IND00002,31.0,229.603294359,7.1,20.1385306715,59.9008696079
IND00002,29.0,229.603294359,7.45,20.1385306715,59.4522584968
IND00002,25.2,229.603294359,8.2,20.1385306715,58.6258696079
IND00002,20.0,0.0,8.4,7.0,9.67777777778
IND00002,28.0,0.0,8.0,60.0,23.5555555556
IND00002,34.0,0.0,8.0,20.0,16.3333333333
IND00002,26.0,0.0,7.5,61.0,23.0694444444
IND00002,21.0,0.0,8.8,150.0,41.8555555556
IND00002,30.0,0.0,7.0,54.0,22.4722222222
IND00002,29.0,0.0,7.4,18.0,14.3166666667
IND00002,23.0,0.0,7.3,20.0,13.0638888889
IND00002,28.0,0.0,8.2,129.0,38.95
IND00002,25.0,0.0,7.2,35.0,16.9222222222
IND00002,26.0,0.0,7.8,110.0,34.05
IND00002,35.0,0.0,7.5,75.0,28.6805555556
IND00002,28.0,0.0,8.6,90.0,30.4055555556
IND00002,35.0,0.0,7.6,80.0,29.8222222222
IND00002,27.0,0.0,8.3,100.0,32.2583333333
IND00002,31.0,0.0,7.5,29.0,17.3472222222
IND00002,32.0,0.0,8.1,60.0,24.6972222222
IND00002,28.0,0.0,7.5,75.0,26.7361111111
IND00002,31.0,0.0,7.6,90.0,30.9333333333
IND00002,34.0,0.0,7.6,90.0,31.7666666667
IND00002,37.0,0.0,8.1,25.0,18.3083333333
IND00002,34.0,0.0,7.8,30.0,18.4944444444
IND00002,30.0,0.0,7.6,35.0,18.4333333333
IND00002,32.0,0.0,7.8,45.0,21.2722222222
IND00002,29.0,0.0,7.3,52.0,21.8416666667
IND00002,28.0,0.0,7.6,35.0,17.8777777778
IND00002,28.0,1206.0,8.0,11.0,247.166666667
IND00002,30.0,551.0,7.7,23.0,122.936111111
IND00002,28.0,218.0,7.6,109.0,76.7111111111
IND00002,30.0,302.0,7.8,8.0,71.2166666667
IND00002,23.0,1002.0,8.7,13.0,206.769444444
IND00002,23.0,1264.0,7.7,29.0,260.963888889
IND00002,29.0,1026.0,7.7,6.0,211.241666667
IND00002,28.0,1389.0,7.6,11.0,282.627777778
IND00002,31.0,1089.0,8.1,8.0,224.613888889
IND00002,32.0,1217.0,7.6,12.0,250.516666667
IND00002,29.0,804.0,7.9,1.0,167.025
IND00002,30.0,1526.0,7.5,29.0,313.791666667
IND00002,28.0,1298.0,6.8,20.0,266.688888889
IND00002,28.0,2220.0,6.6,17.0,445.238888889
IND00002,26.0,1041.0,7.8,19.0,216.244444444
IND00002,30.0,1040.0,7.6,4.0,213.766666667
IND00002,16.0,1097.0,7.6,18.0,224.072222222
IND00002,22.0,1227.0,7.5,25.0,252.541666667
IND00002,26.0,1029.0,7.7,26.0,215.436111111
IND00002,27.0,920.0,7.6,13.0,191.6
IND00002,30.0,1166.0,8.4,25.0,243.177777778
IND00002,35.0,1124.0,7.8,16.0,234.216666667
IND00002,30.0,605.0,7.6,9.0,130.294444444
IND00002,28.0,1674.0,7.4,23.0,340.65
IND00002,29.0,948.0,7.6,10.0,196.933333333
IND00002,28.0,1626.0,7.3,23.0,331.286111111
IND00002,28.0,958.0,7.7,12.0,199.075
IND00002,20.0,1276.0,7.3,57.0,268.563888889
IND00002,21.0,1144.0,7.5,13.0,233.458333333
IND00002,25.0,1865.0,6.3,47.0,381.952777778
IND00002,28.0,1296.0,7.8,41.0,271.272222222
IND00002,29.0,1242.0,7.6,150.0,285.211111111
IND00002,28.0,1260.0,7.6,37.0,263.322222222
IND00002,33.0,1876.0,7.9,38.0,384.802777778
IND00002,32.0,1154.0,7.8,41.0,244.772222222
IND00002,28.0,534.0,7.7,25.0,119.519444444
IND00002,28.0,1127.0,8.0,22.0,234.25
IND00002,29.0,1184.0,7.5,76.0,257.458333333
IND00002,24.0,986.0,7.3,8.0,202.397222222
IND00002,24.0,1116.0,7.1,38.0,234.280555556
IND00002,24.0,1474.0,7.3,49.0,306.397222222
IND00002,20.0,1370.0,8.0,25.0,279.944444444
IND00002,26.0,1448.0,7.6,18.0,295.1
IND00002,25.0,229.603294359,8.2,35.0,61.872862792
IND00002,26.0,229.603294359,7.9,250.0,109.836751681
IND00002,27.0,229.603294359,7.7,27.0,60.497862792
IND00002,30.0,1263.0,7.9,14.0,259.441666667
IND00002,26.0,1516.0,8.3,20.0,308.980555556
IND00002,18.0,1509.0,7.9,35.0,308.608333333
IND00002,28.0,1560.0,7.9,46.0,323.747222222
IND00002,26.0,1531.0,7.8,48.0,317.966666667
IND00002,28.0,1494.0,8.6,43.0,310.461111111
IND00002,28.0,1330.0,8.6,25.0,274.572222222
IND00002,30.0,1424.0,7.9,15.0,290.969444444
IND00002,29.0,1316.0,8.2,38.0,274.894444444
IND00002,30.0,1400.0,8.2,28.0,289.283333333
IND00002,26.0,1242.0,7.9,23.0,256.247222222
IND00002,29.0,1416.0,8.1,40.0,294.752777778
IND00002,22.0,1508.0,7.8,45.0,311.716666667
IND00002,18.0,1370.0,7.8,44.0,283.55
IND00002,23.0,1430.0,7.9,45.0,296.858333333
IND00002,26.0,1488.0,7.9,40.0,307.858333333
IND00002,29.0,1560.0,7.7,45.0,323.741666667
IND00002,29.0,1450.0,7.8,20.1385306715,296.858562371
IND00002,28.0,1504.0,7.7,70.0,318.130555556
IND00002,29.0,1410.0,7.6,48.0,295.211111111
IND00002,28.0,1022.0,7.7,7.0,210.408333333
IND00002,27.0,270.0,8.3,29.0,68.9805555556
IND00002,28.0,490.0,8.1,5.0,106.641666667
IND00002,28.0,1162.0,8.2,9.0,238.227777778
IND00002,23.0,1326.0,8.0,56.0,279.111111111
IND00002,15.0,1188.0,7.2,11.0,239.811111111
IND00002,25.0,1289.0,8.3,11.0,262.563888889
IND00002,26.0,1300.0,7.7,29.0,268.797222222
IND00002,28.0,1328.0,7.4,38.0,276.705555556
IND00002,26.0,1262.0,7.7,32.0,262.075
IND00002,31.0,984.0,7.9,28.0,208.580555556
IND00002,25.0,672.0,7.7,27.0,145.963888889
IND00002,31.0,802.0,7.7,30.0,173.575
IND00002,27.0,808.0,7.7,25.0,172.519444444
IND00002,26.0,900.0,7.7,18.0,188.575
IND00002,20.0,1407.0,7.6,55.0,293.683333333
IND00002,18.0,1350.0,7.6,14.0,272.933333333
IND00002,22.0,1410.0,7.5,10.0,284.791666667
IND00002,23.0,1408.0,7.9,10.0,284.802777778
IND00002,27.0,905.0,7.7,29.0,192.269444444
IND00002,29.0,0.0,7.9,25.0,16.025
IND00002,25.0,0.0,7.6,40.0,18.1555555556
IND00002,27.0,0.0,7.9,150.0,43.2472222222
IND00002,33.0,0.0,7.6,100.0,33.7111111111
IND00002,31.0,0.0,7.8,30.0,17.6611111111
IND00002,30.0,0.0,7.6,35.0,18.4333333333
IND00002,30.0,0.0,8.8,36.0,19.0222222222
IND00002,31.0,0.0,8.2,20.0,15.5611111111
IND00002,32.0,0.0,8.1,18.0,15.3638888889
IND00002,23.0,0.0,7.0,20.0,12.9722222222
IND00002,30.0,0.0,8.0,35.0,18.5555555556
IND00002,23.0,229.603294359,7.5,20.1385306715,57.8008696079
IND00002,28.0,229.603294359,7.7,20.1385306715,59.2508696079
IND00002,31.5,229.603294359,7.7,20.1385306715,60.2230918301
IND00002,32.0,229.603294359,7.8,20.1385306715,60.3925362746
IND00002,32.0,229.603294359,7.7,20.1385306715,60.361980719
IND00002,30.0,229.603294359,7.36,20.1385306715,59.7025362746
IND00002,32.0,229.603294359,7.88,20.1385306715,60.416980719
IND00002,30.0,229.603294359,7.78,20.1385306715,59.8308696079
IND00002,34.0,229.603294359,7.68,20.1385306715,60.9114251635
IND00002,29.0,229.603294359,7.63,20.1385306715,59.5072584968
IND00002,25.0,229.603294359,7.84,20.1385306715,58.4603140524
IND00002,25.0,229.603294359,7.6,20.1385306715,58.386980719
IND00002,28.0,229.603294359,7.8,20.1385306715,59.2814251635
IND00002,27.0,229.603294359,8.79,20.1385306715,59.3061473857
IND00002,26.0,229.603294359,8.11,20.1385306715,58.8205918301
IND00002,33.0,229.603294359,8.86,20.1385306715,60.9942029413
IND00002,29.0,229.603294359,7.87,20.1385306715,59.5805918301
IND00002,30.0,229.603294359,8.0,20.1385306715,59.8980918301
IND00002,27.0,229.603294359,8.13,20.1385306715,59.104480719
IND00002,26.0,229.603294359,7.74,20.1385306715,58.7075362746
IND00002,20.0,0.0,7.9,25.0,13.525
IND00002,26.0,0.0,7.3,46.0,19.675
IND00002,26.0,0.0,7.8,18.0,13.6055555556
IND00002,27.0,0.0,8.0,28.0,16.1666666667
IND00002,28.0,0.0,7.9,18.0,14.1916666667
IND00002,35.0,0.0,7.9,18.0,16.1361111111
IND00002,33.0,0.0,7.8,22.0,16.4388888889
IND00002,30.0,0.0,7.8,50.0,21.8277777778
IND00002,28.0,0.0,7.6,25.0,15.6555555556
IND00002,26.0,0.0,7.7,25.0,15.1305555556
IND00002,26.0,0.0,7.6,22.0,14.4333333333
IND00002,26.0,0.0,7.5,350.0,87.2916666667
IND00002,22.0,0.0,7.9,22.0,13.4138888889
IND00002,28.0,0.0,8.1,23.0,15.3638888889
IND00002,28.0,229.603294359,7.8,22.0,59.6950850143
IND00002,30.0,229.603294359,8.1,25.0,61.0089739031
IND00002,26.0,1528.0,7.7,38.0,315.130555556
IND00002,29.0,1536.0,7.5,37.0,317.236111111
IND00002,30.0,1738.0,7.3,32.0,355.619444444
IND00002,32.0,410.0,7.4,5.0,91.9833333333
IND00002,30.0,1544.0,7.5,15.0,314.180555556
IND00002,30.0,1480.0,7.4,21.0,303.038888889
IND00002,30.0,906.0,7.9,21.0,191.580555556
IND00002,28.0,1090.0,7.2,45.0,231.922222222
IND00002,28.0,1286.0,7.5,35.0,267.902777778
IND00002,28.0,1362.0,7.0,62.0,288.527777778
IND00002,28.0,1140.0,7.0,33.0,238.916666667
IND00002,29.0,1256.0,8.0,5.0,255.833333333
IND00002,26.0,1428.0,8.0,7.0,288.888888889
IND00002,28.0,1414.0,8.0,12.0,287.833333333
IND00002,28.0,1420.0,8.0,5.0,287.444444444
IND00002,25.0,1068.0,8.0,22.0,221.944444444
IND00002,29.0,554.0,8.0,26.0,124.0
IND00002,30.0,896.0,8.0,35.0,192.777777778
IND00002,33.0,552.0,8.0,12.0,121.611111111
IND00002,30.0,772.0,8.0,5.0,162.0
IND00002,23.0,1420.0,7.0,25.0,290.194444444
IND00002,25.0,229.603294359,7.3,20.1385306715,58.2953140524
IND00002,26.0,1298.0,7.7,5.0,263.075
IND00002,25.0,1220.0,7.4,15.0,249.761111111
IND00002,27.0,1372.0,7.5,4.0,277.458333333
IND00002,29.0,1328.0,7.7,18.0,272.630555556
IND00002,30.0,672.0,7.6,12.0,143.988888889
IND00002,27.0,914.0,7.1,12.0,190.058333333
IND00002,30.0,1360.0,7.3,13.0,277.897222222
IND00002,31.0,1624.0,8.0,13.0,329.722222222
IND00002,29.0,1602.0,7.5,28.0,328.069444444
IND00002,28.0,1772.0,6.8,3.0,355.077777778
IND00002,30.0,1596.0,7.6,7.0,322.544444444
IND00002,26.0,1764.0,7.4,5.0,353.594444444
IND00002,31.0,1584.0,7.6,4.0,319.822222222
IND00002,30.0,1842.0,7.1,4.0,369.558333333
IND00002,32.0,1480.0,6.8,3.0,299.411111111
IND00002,32.0,1404.0,6.8,3.0,284.633333333
IND00002,29.0,2680.0,2.1,16.0,533.363888889
IND00002,28.0,1476.0,6.5,5.0,297.875
IND00002,24.0,3836.0,2.0,8.0,754.944444444
IND00002,27.0,3556.0,2.0,10.0,701.777777778
IND00002,36.0,3016.0,2.0,9.0,599.055555556
IND00002,30.0,2862.0,6.1,15.0,570.030555556
IND00002,29.0,1622.0,7.0,13.0,328.472222222
IND00002,27.0,1864.0,7.0,30.0,378.75
IND00002,30.0,1984.0,4.5,43.0,405.041666667
IND00002,30.0,1532.0,7.0,52.0,319.916666667
IND00002,30.0,1702.0,7.0,43.0,350.972222222
IND00002,30.0,1566.0,6.1,8.0,316.475
IND00002,22.0,1400.0,7.0,16.0,284.027777778
IND00002,30.0,1150.0,6.96,1.9,234.493333333
IND00002,28.0,1502.0,7.08,3.3,302.73
IND00002,32.0,1486.0,7.1,12.0,302.669444444
IND00002,30.0,1434.0,8.55,2.5,290.334722222
IND00002,28.0,192.0,7.1,1.0,47.5027777778
IND00002,30.0,366.0,7.2,0.6,81.8333333333
IND00002,30.0,229.603294359,7.1,1.0,55.3700850143
IND00002,23.0,229.603294359,7.24,12.2,55.9573072365
IND00002,28.0,229.603294359,7.84,6.4,56.2406405698
IND00002,30.0,229.603294359,6.88,42.1,64.4361961254
IND00002,33.0,229.603294359,7.3,15.5,59.4867516809
IND00002,30.0,229.603294359,7.39,20.1385306715,59.7117029413
IND00002,26.0,229.603294359,7.76,20.1385306715,58.7136473857
IND00002,32.0,229.603294359,7.34,20.1385306715,60.251980719
IND00002,27.0,229.603294359,7.1,20.1385306715,58.7897584968
IND00002,28.0,229.603294359,7.65,20.1385306715,59.2355918301
IND00002,27.0,1550.0,7.0,16.7,314.738888889
IND00002,28.0,229.603294359,6.8,20.1385306715,58.9758696079
IND00002,29.0,229.603294359,7.3,20.1385306715,59.4064251635
IND00002,32.0,229.603294359,6.6,20.1385306715,60.0258696079
IND00002,34.0,229.603294359,6.98,20.1385306715,60.6975362746
IND00002,32.0,229.603294359,7.52,20.1385306715,60.306980719
IND00002,30.0,229.603294359,7.93,20.1385306715,59.8767029413
IND00002,28.0,229.603294359,6.94,20.1385306715,59.0186473857
IND00002,29.0,229.603294359,7.03,20.1385306715,59.3239251635
IND00002,30.0,229.603294359,7.18,20.1385306715,59.6475362746
IND00002,29.0,229.603294359,7.05,20.1385306715,59.3300362746
IND00002,26.6836370236,229.603294359,7.5,20.1385306715,58.8241021145
IND00002,25.0,229.603294359,7.58,20.1385306715,58.3808696079
IND00002,28.0,229.603294359,7.14,20.1385306715,59.0797584968
IND00002,29.0,229.603294359,7.31,20.1385306715,59.409480719
IND00002,25.0,229.603294359,6.82,20.1385306715,58.1486473857
IND00002,25.0,2916.0,6.79,24.5,581.463611111
IND00002,28.0,229.603294359,7.45,20.1385306715,59.174480719
IND00002,31.0,229.603294359,7.55,20.1385306715,60.0383696079
IND00002,32.0,229.603294359,6.5,20.1385306715,59.9953140524
IND00002,27.0,229.603294359,7.2,1.1,54.5895294587
IND00002,26.0,229.603294359,7.11,20.1385306715,58.5150362746
IND00002,24.0,229.603294359,7.4,20.1385306715,58.0480918301
IND00002,27.0,229.603294359,7.5,20.1385306715,58.911980719
